1	6
2	6
3	6
4	6
5	6
6	6
7	6
8	6
9	1
10	6
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	6
25	1
26	1
27	6
28	6
29	6
30	6
31	6
32	6
33	6
34	6
35	6
36	6
37	6
38	6
39	6
40	6
41	6
42	6
43	6
44	1
45	6
46	6
47	6
48	6
49	6
50	1
51	1
52	1
53	6
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	2
81	2
82	2
83	2
84	1
85	1
86	1
87	1
88	1
89	1
90	2
91	2
92	2
93	2
94	2
95	6
96	1
97	1
98	1
99	1
100	1
101	2
102	2
103	2
104	2
105	2
106	2
107	2
108	2
109	1
110	1
111	2
112	2
113	2
114	2
115	2
116	1
117	2
118	2
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	2
127	2
128	2
129	2
130	2
131	2
132	1
133	1
134	1
135	1
136	1
137	1
138	2
139	2
140	2
141	2
142	2
143	1
144	1
145	1
146	1
147	1
148	1
149	2
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	6
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	2
172	2
173	2
174	2
175	6
176	6
177	1
178	6
179	6
180	1
181	1
182	1
183	1
184	5
185	5
186	5
187	5
188	5
189	5
190	5
191	5
192	5
193	5
194	5
195	5
196	5
197	5
198	5
199	5
200	5
201	5
202	5
203	5
204	5
205	5
206	5
207	5
208	5
209	5
210	5
211	5
212	5
213	5
214	5
215	5
216	5
217	5
218	5
219	5
220	5
221	5
222	5
223	5
224	5
225	5
226	5
227	5
228	5
229	5
230	5
231	5
232	5
233	5
234	5
235	5
236	5
237	5
238	5
239	5
240	5
241	5
242	2
243	2
244	2
245	2
246	2
247	2
248	2
249	1
250	1
251	1
252	1
253	1
254	2
255	2
256	2
257	2
258	2
259	2
260	2
261	2
262	2
263	1
264	1
265	2
266	2
267	2
268	1
269	1
270	1
271	2
272	2
273	2
274	2
275	2
276	2
277	2
278	2
279	2
280	2
281	2
282	1
283	6
284	6
285	6
286	6
287	6
288	6
289	6
290	6
291	6
292	6
293	6
294	6
295	6
296	6
